adelphi,newyork,private,5-10,0.3,15,500,475,7-10,60,4-7,70,40,2,2,2,biology
arizona-state,arizona,state,20+,0.5,20,450,500,4-7,50,17+,80,60,3,4,5,fine-arts
boston-college,massachusetts,private:roman-catholic,5-10,0.4,20,500,550,10+,60,10-13,50,40,4,5,3,english
boston-university,massachusetts,private,10-15,0.45,12,550,575,10+,60,13-17,60,40,4,4,3,liberal-arts
brown,rhodeisland,private,5-,0.5,11,625,650,10+,40,10-13,20,50,5,4,5,arts:sciences
cal-tech,california,private,5-,0.7,10,650,780,10+,70,4-,15,90,5,1,3,engineering
carnegie-mellon,pennsylvania,private,5-,0.6,10,600,650,10+,70,4-7,40,50,4,3,3,engineering
case-western,ohio,private,5-,0.7,9,550,650,10+,65,4-,85,35,3,2,3,arts:sciences
ccny,newyork,city,10-15,0.6,15,0,0,4-,80,4-,80,60,3,2,2,performing-arts
colgate,newyork,private,5-,0.55,13,0,0,10+,60,4-7,40,40,4,3,3,english
columbia,newyork,private,5-,0.7,9,625,650,10+,60,4-7,30,50,5,3,3,liberal-arts
cooper-union,newyork,private,5-,0.7,6,0,0,4-,35,4-,20,65,3,1,3,fine-arts
cornell,newyork,private,10-15,0.55,7,600,650,10+,50,17+,30,50,5,3,2,industrial:labor-relations
dartmouth,newhampshire,private,5-,0.6,7,625,650,10+,40,7-10,20,60,5,5,3,liberal-arts
florida-tech,florida,private,5-,0.8,20,500,550,4-7,60,4-,60,50,3,3,3,engineering
florida-state,florida,state,15-20,0.45,20,500,525,4-7,40,7-10,60,50,3,3,3,0
georgia-tech,georgia,state,5-10,0.8,20,525,625,4-7,20,4-7,60,50,4,2,2,engineering
harvard,massachusetts,private,5-10,0.65,10,700,675,10+,60,13-17,20,80,5,3,4,liberal-arts
hofstra,newyork,0,5-10,0.5,0,500,525,7-10,80,4-7,70,50,2,2,2,engineering
illinois-tech,illinois,state,5-,0.9,25,450,575,4-7,65,4-,50,60,3,1,3,engineering
johns-hopkins,maryland,private,5-,0.7,10,625,675,10+,70,4-,50,40,5,3,3,engineering
mit,massachusetts,private,5-,0.75,5,650,750,10+,50,4-7,30,60,5,3,3,engineering
university-of-montana,montana,state,5-,0.65,21,0,0,4-7,65,4-,90,60,3,2,4,mineral-engineering
morgan-state,maryland,state,5-,0.4,13,300,325,4-,0,4-,70,50,2,2,2,accounting
new-jersey-tech,newjersey,state,5-,0.9,25,450,575,4-7,65,4-,50,60,3,1,3,architecture
nyu,newyork,private,5-10,0.5,7,550,575,10+,50,7-10,50,60,4,3,3,psychology
pratt,newyork,private,5-,0.6,7,425,475,4-7,80,4-,50,60,3,1,2,arts:sciences
princeton,newjersey,private,5-,0.65,7,650,675,10+,50,10-13,20,60,5,3,3,engineering
rensselaer,newyork,private,5-,0.8,11,575,700,10+,60,7-10,50,30,4,3,3,management
rochester-tech,newyork,private,5-10,0.65,14,525,575,7-10,60,7-10,70,50,3,3,3,arts:sciences
stanford,california,private,5-10,0.55,10,625,675,10+,45,13-17,20,70,5,4,5,engineering
stevens,newjersey,private,5-,0.8,13,500,625,7-10,65,4-,60,40,3,2,4,engineering
temple,pennsylvania,state,15-20,0.5,11,475,500,4-7,60,10-13,70,60,2,2,2,computer-science
texas-a&m,texas,state,20+,0.6,12,475,550,4-,20,10-13,80,70,3,3,3,marine-biology
university-of-california-berkely,california,state,20+,0.55,11,530,600,4-7,0,13-17,50,70,5,3,3,government
university-of-california-davis,california,state,10-15,0.5,15,500,550,4-7,40,7-10,70,70,4,3,4,economics
ucla,california,state,20+,0.5,11,500,550,4-7,50,4-7,80,70,4,3,3,english
university-of-california-san-diego,california,state,5-10,0.55,15,550,600,4-7,25,4-7,80,65,4,4,4,engineering
university-of-california-santa-cruz,california,state,5-10,0.5,18,525,550,4-7,65,4-,70,60,4,3,5,arts:sciences
university-of-maine,maine,public,10-15,0.55,15,500,500,4-7,70,4-7,90,50,2,4,3,liberal-arts
university-of-oklahoma,oklahoma,state,10-15,0.6,20,0,0,4-,30,10-13,90,70,3,3,3,arts:sciences
university-of-penn,pennsylvania,private,5-10,0.6,10,600,650,10+,60,10-13,40,50,5,4,3,nursing
university-of-san-francisco,california,private,5-,0.5,13,450,525,7-10,70,4-,60,60,3,3,4,arts:sciences
usc,california,private,10-15,0.6,18,475,525,10+,60,10-13,70,50,4,4,3,psychology
worcester,massachusetts,private,5-,0.8,12,550,650,10+,70,4-,50,50,4,3,4,engineering
yale,connecticut,private,5-,0.55,5,675,675,10+,40,10-13,20,60,5,3,4,liberal-arts
abilene-christian-university,texas,private,5-,0.5,21,0,0,4-,70,4-,90,80,2,3,3,liberal-arts
brandeis0,massachusetts,private,5-,0.5,9,580,610,10+,50,4-,70,40,4,4,3,social-science
emory0,georgia,private,5-10,0.5,8,550,600,7-10,60,4-7,60,30,4,4,4,liberal-arts
georgetown1,district-of-columbia,private,5-10,0.5,16,618,648,10+,45,7-10,30,50,4,5,5,liberal-arts
clark-university1,massachusetts,private,5-,0.45,15,500,575,10+,50,4-,60,30,4,3,3,liberal-arts
university-of-pittsburgh1,pennsylvania,state,15-20,0.45,11,500,550,4-7,90,4-7,80,50,3,2,2,science
university-of-rochester1,newyork,private,5-10,0.6,10,550,625,10+,80,4-7,70,30,4,3,3,liberal-arts
university-of-washington1,washington,state,20+,0.5,13,500,575,4-7,45,7-10,70,60,4,3,3,liberal-arts
brandeis1,massachusetts,private,5-,0.5,10,580,620,10+,45,4-,75,35,4,3,3,science
huntington-college,indiana,private,5-,0.55,13,450,500,4-7,90,4-,90,65,3,4,3,science
tufts1,massachusetts,private,5-,0.5,10,580,620,10+,45,4-,75,35,3,4,4,math
trinity-college,connecticut,private,5-,0.51,9,560,600,10+,85,4-,45,35,4,3,4,science
university-of-portland,oregon,private,5-,0.5,15,500,480,7-10,30,4-,90,50,3,3,2,engineering
florida-academic-university,florida,state,5-10,0.66667,20,510,500,4-,70,4-,80,60,2,5,4,liberal-arts
bennington0,vermont,private,5-,0.30096,9,0,0,10+,50,4-,80,55,4,5,4,liberal-arts
juilliard0,newyork,private,5-,0.5,5,0,0,4-7,90,4-,50,95,4,4,2,performing-arts
mesa,colorado,state,5-,0.53846,20,0,0,4-,60,4-,95,55,2,3,3,business-administration
hampshire-college1,massachusetts,private,5-,0.45455,14,556,542,10+,35,4-,75,50,3,4,3,independent-study
rutgers2,newjersey,private,5-10,0.54321,17,540,490,7-10,55,10-13,55,35,3,2,2,health-science
university-of-pennsylvania1,pennsylvania,private,5-10,0.54167,7,680,640,10+,40,13-17,40,50,5,3,3,biology
university-of-georgia1,georgia,state,10-15,0.5,20,490,530,4-,40,4-7,70,50,2,4,5,business-administration
golden-gate-college,california,private,5-,0.23077,20,500,500,4-,25,4-,100,50,2,1,1,accounting
augsburg,minnesota,private,5-,0.56522,10,420,490,4-,80,4-,85,50,1,3,4,performing-arts
vanderbilt,tennessee,private,5-10,0.5,7,550,600,7-10,35,4-7,60,25,4,3,4,education
university-of-alabama,alabama,state,15-20,0.51,17,470,535,4-,50,4-7,70,50,2,4,4,social-science
auburn,alabama,state,15-20,0.55,18,480,545,4-,50,4-7,90,60,2,4,4,social-science
georgetown2,district-of-columbia,private,5-10,0.55,14,620,635,7-10,30,7-10,30,10,4,4,4,nursing
washington-and-lee0,virginia,private,5-,0.8,11,560,590,7-10,30,4-,50,30,4,4,4,social-studies
rutgers3,newjersey,state,20+,0.5,40,460,510,4-,20,4-7,70,50,4,3,4,political-science
queens,newyork,state,15-20,0.4,18,450,450,4-,50,4-7,70,50,4,3,3,accounting
